Entity,Code,Year,Population
Afghanistan,AFG,2008,27722000
Afghanistan,AFG,2009,28395000
Afghanistan,AFG,2010,29186000
Afghanistan,AFG,2011,30117000
Afghanistan,AFG,2012,31161000
Afghanistan,AFG,2013,32270000
Afghanistan,AFG,2014,33371000
Afghanistan,AFG,2015,34414000
Afghanistan,AFG,2016,35383000
Afghanistan,AFG,2017,36296000
Afghanistan,AFG,2018,37172000
Afghanistan,AFG,2019,38042000
Albania,ALB,1901,827966
Albania,ALB,1902,836031
Albania,ALB,1903,844038
Albania,ALB,1904,852043
Albania,ALB,1905,860044
Albania,ALB,1906,868121
Albania,ALB,1907,876112
Albania,ALB,1908,884339
Albania,ALB,1909,892676
Albania,ALB,1910,901124
Albania,ALB,1911,909604
Albania,ALB,1912,918312
Albania,ALB,1913,925945
Albania,ALB,1914,932486
Albania,ALB,1915,937916
Albania,ALB,1916,943378
Albania,ALB,1917,948871
Albania,ALB,1918,953764
Albania,ALB,1919,958841
Albania,ALB,1920,963958
Albania,ALB,1921,969107
Albania,ALB,1922,974278
Albania,ALB,1923,979450
Albania,ALB,1924,984276
Albania,ALB,1925,989448
Albania,ALB,1926,994619
Albania,ALB,1927,1000135
Albania,ALB,1928,1005306
Albania,ALB,1929,1010478
Albania,ALB,1930,1015994
Albania,ALB,1931,1021510
Albania,ALB,1932,1027026
Albania,ALB,1933,1032197
Albania,ALB,1934,1037713
Albania,ALB,1935,1043229
Albania,ALB,1936,1052538
Albania,ALB,1937,1063225
Albania,ALB,1938,1082532
Albania,ALB,1939,1102527
Albania,ALB,1940,1123213
Albania,ALB,1941,1139416
Albania,ALB,1942,1150104
Albania,ALB,1943,1157688
Albania,ALB,1944,1164928
Albania,ALB,1945,1176994
Albania,ALB,1946,1195267
Albania,ALB,1947,1213883
Albania,ALB,1948,1232845
Albania,ALB,1949,1246636
Albania,ALB,1950,1263000
Albania,ALB,1951,1287000
Albania,ALB,1952,1316000
Albania,ALB,1953,1348000
Albania,ALB,1954,1383000
Albania,ALB,1955,1420000
Albania,ALB,1956,1459000
Albania,ALB,1957,1500000
Albania,ALB,1958,1543000
Albania,ALB,1959,1589000
Albania,ALB,1960,1636000
Albania,ALB,1961,1686000
Albania,ALB,1962,1738000
Albania,ALB,1963,1791000
Albania,ALB,1964,1844000
Albania,ALB,1965,1896000
Albania,ALB,1966,1948000
Albania,ALB,1967,1999000
Albania,ALB,1968,2049000
Albania,ALB,1969,2100000
Albania,ALB,1970,2151000
Albania,ALB,1971,2202000
Albania,ALB,1972,2254000
Albania,ALB,1973,2306000
Albania,ALB,1974,2359000
Albania,ALB,1975,2412000
Albania,ALB,1976,2465000
Albania,ALB,1977,2519000
Albania,ALB,1978,2573000
Albania,ALB,1979,2628000
Albania,ALB,1980,2683000
Albania,ALB,1981,2737000
Albania,ALB,1982,2790000
Albania,ALB,1983,2845000
Albania,ALB,1984,2904000
Albania,ALB,1985,2970000
Albania,ALB,1986,3044000
Albania,ALB,1987,3125000
Albania,ALB,1988,3201000
Albania,ALB,1989,3258000
Albania,ALB,1990,3286000
Albania,ALB,1991,3280000
Albania,ALB,1992,3246000
Albania,ALB,1993,3195000
Albania,ALB,1994,3147000
Albania,ALB,1995,3113000
Albania,ALB,1996,3099000
Albania,ALB,1997,3100000
Albania,ALB,1998,3111000
Albania,ALB,1999,3123000
Albania,ALB,2000,3129000
Albania,ALB,2001,3130000
Albania,ALB,2002,3126000
Albania,ALB,2003,3118000
Albania,ALB,2004,3105000
Albania,ALB,2005,3087000
Albania,ALB,2006,3063000
Albania,ALB,2007,3034000
Albania,ALB,2008,3003000
Albania,ALB,2009,2973000
Albania,ALB,2010,2948000
Albania,ALB,2011,2929000
Albania,ALB,2012,2914000
Albania,ALB,2013,2904000
Albania,ALB,2014,2896000
Albania,ALB,2015,2891000
Albania,ALB,2016,2886000
Albania,ALB,2017,2884000
Albania,ALB,2018,2883000
Albania,ALB,2019,2881000
Algeria,DZA,1901,4990304
Algeria,DZA,1902,5034196
Algeria,DZA,1903,5079119
Algeria,DZA,1904,5124443
Algeria,DZA,1905,5170172
Algeria,DZA,1906,5216308
Algeria,DZA,1907,5261920
Algeria,DZA,1908,5308875
Algeria,DZA,1909,5356248
Algeria,DZA,1910,5404045
Algeria,DZA,1911,5451990
Algeria,DZA,1912,5500641
Algeria,DZA,1913,5556904
Algeria,DZA,1914,5620940
Algeria,DZA,1915,5692913
Algeria,DZA,1916,5765808
Algeria,DZA,1917,5839635
Algeria,DZA,1918,5913223
Algeria,DZA,1919,5988038
Algeria,DZA,1920,6063800
Algeria,DZA,1921,6140520
Algeria,DZA,1922,6218211
Algeria,DZA,1923,6296885
Algeria,DZA,1924,6376554
Algeria,DZA,1925,6457232
Algeria,DZA,1926,6538930
Algeria,DZA,1927,6621661
Algeria,DZA,1928,6705440
Algeria,DZA,1929,6790278
Algeria,DZA,1930,6876190
Algeria,DZA,1931,6963188
Algeria,DZA,1932,7051288
Algeria,DZA,1933,7140502
Algeria,DZA,1934,7230845
Algeria,DZA,1935,7322331
Algeria,DZA,1936,7414974
Algeria,DZA,1937,7508790
Algeria,DZA,1938,7603792
Algeria,DZA,1939,7699997
Algeria,DZA,1940,7797418
Algeria,DZA,1941,7896073
Algeria,DZA,1942,7995975
Algeria,DZA,1943,8097142
Algeria,DZA,1944,8199588
Algeria,DZA,1945,8303331
Algeria,DZA,1946,8408386
Algeria,DZA,1947,8514770
Algeria,DZA,1948,8622500
Algeria,DZA,1949,8731594
Algeria,DZA,1950,8872000
Algeria,DZA,1951,9023000
Algeria,DZA,1952,9186000
Algeria,DZA,1953,9364000
Algeria,DZA,1954,9560000
Algeria,DZA,1955,9774000
Algeria,DZA,1956,10006000
Algeria,DZA,1957,10254000
Algeria,DZA,1958,10514000
Algeria,DZA,1959,10783000
Algeria,DZA,1960,11058000
Algeria,DZA,1961,11336000
Algeria,DZA,1962,11620000
Algeria,DZA,1963,11913000
Algeria,DZA,1964,12222000
Algeria,DZA,1965,12551000
Algeria,DZA,1966,12903000
Algeria,DZA,1967,13275000
Algeria,DZA,1968,13664000
Algeria,DZA,1969,14062000
Algeria,DZA,1970,14465000
Algeria,DZA,1971,14872000
Algeria,DZA,1972,15286000
Algeria,DZA,1973,15710000
Algeria,DZA,1974,16149000
Algeria,DZA,1975,16608000
Algeria,DZA,1976,17086000
Algeria,DZA,1977,17583000
Algeria,DZA,1978,18102000
Algeria,DZA,1979,18648000
Algeria,DZA,1980,19222000
Algeria,DZA,1981,19824000
Algeria,DZA,1982,20453000
Algeria,DZA,1983,21102000
Algeria,DZA,1984,21764000
Algeria,DZA,1985,22432000
Algeria,DZA,1986,23102000
Algeria,DZA,1987,23774000
Algeria,DZA,1988,24443000
Algeria,DZA,1989,25106000
Algeria,DZA,1990,25759000
Algeria,DZA,1991,26400000
Algeria,DZA,1992,27028000
Algeria,DZA,1993,27636000
Algeria,DZA,1994,28214000
Algeria,DZA,1995,28758000
Algeria,DZA,1996,29266000
Algeria,DZA,1997,29743000
Algeria,DZA,1998,30193000
Algeria,DZA,1999,30623000
Algeria,DZA,2000,31042000
Algeria,DZA,2001,31452000
Algeria,DZA,2002,31855000
Algeria,DZA,2003,32264000
Algeria,DZA,2004,32692000
Algeria,DZA,2005,33150000
Algeria,DZA,2006,33641000
Algeria,DZA,2007,34167000
Algeria,DZA,2008,34731000
Algeria,DZA,2009,35334000
Algeria,DZA,2010,35977000
Algeria,DZA,2011,36661000
Algeria,DZA,2012,37384000
Algeria,DZA,2013,38140000
Algeria,DZA,2014,38924000
Algeria,DZA,2015,39728000
Algeria,DZA,2016,40551000
Algeria,DZA,2017,41389000
Algeria,DZA,2018,42228000
Algeria,DZA,2019,43053000
American Samoa,ASM,1950,19000
American Samoa,ASM,1951,19000
American Samoa,ASM,1952,20000
American Samoa,ASM,1953,20000
American Samoa,ASM,1954,20000
American Samoa,ASM,1955,20000
American Samoa,ASM,1956,20000
American Samoa,ASM,1957,20000
American Samoa,ASM,1958,20000
American Samoa,ASM,1959,20000
American Samoa,ASM,1960,20000
American Samoa,ASM,1961,21000
American Samoa,ASM,1962,21000
American Samoa,ASM,1963,22000
American Samoa,ASM,1964,23000
American Samoa,ASM,1965,24000
American Samoa,ASM,1966,24000
American Samoa,ASM,1967,25000
American Samoa,ASM,1968,26000
American Samoa,ASM,1969,27000
American Samoa,ASM,1970,27000
American Samoa,ASM,1971,28000
American Samoa,ASM,1972,29000
American Samoa,ASM,1973,29000
American Samoa,ASM,1974,30000
American Samoa,ASM,1975,30000
American Samoa,ASM,1976,30000
American Samoa,ASM,1977,31000
American Samoa,ASM,1978,31000
American Samoa,ASM,1979,32000
American Samoa,ASM,1980,33000
American Samoa,ASM,1981,34000
American Samoa,ASM,1982,35000
American Samoa,ASM,1983,36000
American Samoa,ASM,1984,38000
American Samoa,ASM,1985,40000
American Samoa,ASM,1986,41000
American Samoa,ASM,1987,43000
American Samoa,ASM,1988,44000
American Samoa,ASM,1989,46000
American Samoa,ASM,1990,47000
American Samoa,ASM,1991,49000
American Samoa,ASM,1992,50000
American Samoa,ASM,1993,51000
American Samoa,ASM,1994,52000
American Samoa,ASM,1995,53000
American Samoa,ASM,1996,54000
American Samoa,ASM,1997,55000
American Samoa,ASM,1998,56000
American Samoa,ASM,1999,57000
American Samoa,ASM,2000,58000
American Samoa,ASM,2001,58000
American Samoa,ASM,2002,59000
American Samoa,ASM,2003,59000
American Samoa,ASM,2004,60000
American Samoa,ASM,2005,60000
American Samoa,ASM,2006,59000
American Samoa,ASM,2007,58000
American Samoa,ASM,2008,57000
American Samoa,ASM,2009,57000
American Samoa,ASM,2010,56000
American Samoa,ASM,2011,56000
American Samoa,ASM,2012,56000
American Samoa,ASM,2013,56000
American Samoa,ASM,2014,56000
American Samoa,ASM,2015,56000
American Samoa,ASM,2016,56000
American Samoa,ASM,2017,56000
American Samoa,ASM,2018,55000
American Samoa,ASM,2019,55000
Andorra,AND,1901,4420
Andorra,AND,1902,4447
Andorra,AND,1903,4474
Andorra,AND,1904,4502
Andorra,AND,1905,4530
Andorra,AND,1906,4558
Andorra,AND,1907,4585
Andorra,AND,1908,4614
Andorra,AND,1909,4642
Andorra,AND,1910,4671
Andorra,AND,1911,4699
Andorra,AND,1912,4728
Andorra,AND,1913,4758
Andorra,AND,1914,4787
Andorra,AND,1915,4817
Andorra,AND,1916,4846
Andorra,AND,1917,4876
Andorra,AND,1918,4909
Andorra,AND,1919,4941
Andorra,AND,1920,4973
Andorra,AND,1921,5006
Andorra,AND,1922,5038
Andorra,AND,1923,5071
Andorra,AND,1924,5105
Andorra,AND,1925,5138
Andorra,AND,1926,5172
Andorra,AND,1927,5206
Andorra,AND,1928,5240
Andorra,AND,1929,5274
Andorra,AND,1930,5308
Andorra,AND,1931,5343
Andorra,AND,1932,5378
Andorra,AND,1933,5413
Andorra,AND,1934,5449
Andorra,AND,1935,5484
Andorra,AND,1936,5520
Andorra,AND,1937,5556
Andorra,AND,1938,5593
Andorra,AND,1939,5629
Andorra,AND,1940,5666
Andorra,AND,1941,5703
Andorra,AND,1942,5741
Andorra,AND,1943,5778
Andorra,AND,1944,5816
Andorra,AND,1945,5854
Andorra,AND,1946,5892
Andorra,AND,1947,5931
Andorra,AND,1948,5970
Andorra,AND,1949,6009
Andorra,AND,1950,6000
Andorra,AND,1951,7000
Andorra,AND,1952,7000
Andorra,AND,1953,8000
Andorra,AND,1954,9000
Andorra,AND,1955,9000
Andorra,AND,1956,10000
Andorra,AND,1957,11000
Andorra,AND,1958,12000
Andorra,AND,1959,12000
Andorra,AND,1960,13000
Andorra,AND,1961,14000
Andorra,AND,1962,15000
Andorra,AND,1963,16000
Andorra,AND,1964,17000
Andorra,AND,1965,19000
Andorra,AND,1966,20000
Andorra,AND,1967,21000
Andorra,AND,1968,22000
Andorra,AND,1969,23000
Andorra,AND,1970,24000
Andorra,AND,1971,26000
Andorra,AND,1972,27000
Andorra,AND,1973,28000
Andorra,AND,1974,30000
Andorra,AND,1975,31000
Andorra,AND,1976,32000
Andorra,AND,1977,33000
Andorra,AND,1978,34000
Andorra,AND,1979,35000
Andorra,AND,1980,36000
Andorra,AND,1981,37000
Andorra,AND,1982,39000
Andorra,AND,1983,41000
Andorra,AND,1984,43000
Andorra,AND,1985,45000
Andorra,AND,1986,47000
Andorra,AND,1987,48000
Andorra,AND,1988,50000
Andorra,AND,1989,52000
Andorra,AND,1990,55000
Andorra,AND,1991,57000
Andorra,AND,1992,59000
Andorra,AND,1993,61000
Andorra,AND,1994,63000
Andorra,AND,1995,64000
Andorra,AND,1996,64000
Andorra,AND,1997,64000
Andorra,AND,1998,64000
Andorra,AND,1999,64000
Andorra,AND,2000,65000
Andorra,AND,2001,67000
Andorra,AND,2002,70000
Andorra,AND,2003,73000
Andorra,AND,2004,76000
Andorra,AND,2005,79000
Andorra,AND,2006,81000
Andorra,AND,2007,83000
Andorra,AND,2008,84000
Andorra,AND,2009,84000
Andorra,AND,2010,84000
Andorra,AND,2011,84000
Andorra,AND,2012,82000
Andorra,AND,2013,81000
Andorra,AND,2014,79000
Andorra,AND,2015,78000
Andorra,AND,2016,77000
Andorra,AND,2017,77000
Andorra,AND,2018,77000
Andorra,AND,2019,77000
Angola,AGO,1901,3021420
Angola,AGO,1902,3047127
Angola,AGO,1903,3073315
Angola,AGO,1904,3099724
Angola,AGO,1905,3126354
Angola,AGO,1906,3153208
Angola,AGO,1907,3179897
Angola,AGO,1908,3207199
Angola,AGO,1909,3234731
Angola,AGO,1910,3262493
Angola,AGO,1911,3290373
Angola,AGO,1912,3318601
Angola,AGO,1913,3347066
Angola,AGO,1914,3375770
Angola,AGO,1915,3404714
Angola,AGO,1916,3433900
Angola,AGO,1917,3463331
Angola,AGO,1918,3487015
Angola,AGO,1919,3512369
Angola,AGO,1920,3537908
Angola,AGO,1921,3563632
Angola,AGO,1922,3589544
Angola,AGO,1923,3615643
Angola,AGO,1924,3641933
Angola,AGO,1925,3668414
Angola,AGO,1926,3695087
Angola,AGO,1927,3721954
Angola,AGO,1928,3749017
Angola,AGO,1929,3776276
Angola,AGO,1930,3803733
Angola,AGO,1931,3831391
Angola,AGO,1932,3859249
Angola,AGO,1933,3887310
Angola,AGO,1934,3915574
Angola,AGO,1935,3944045
Angola,AGO,1936,3972722
Angola,AGO,1937,4001608
Angola,AGO,1938,4030704
Angola,AGO,1939,4060011
Angola,AGO,1940,4093865
Angola,AGO,1941,4132344
Angola,AGO,1942,4175527
Angola,AGO,1943,4219161
Angola,AGO,1944,4263251
Angola,AGO,1945,4307801
Angola,AGO,1946,4352818
Angola,AGO,1947,4398304
Angola,AGO,1948,4444266
Angola,AGO,1949,4490709
Angola,AGO,1950,4548000
Angola,AGO,1951,4617000
Angola,AGO,1952,4713000
Angola,AGO,1953,4823000
Angola,AGO,1954,4936000
Angola,AGO,1955,5043000
Angola,AGO,1956,5141000
Angola,AGO,1957,5228000
Angola,AGO,1958,5307000
Angola,AGO,1959,5381000
Angola,AGO,1960,5455000
Angola,AGO,1961,5531000
Angola,AGO,1962,5608000
Angola,AGO,1963,5679000
Angola,AGO,1964,5735000
Angola,AGO,1965,5771000
Angola,AGO,1966,5781000
Angola,AGO,1967,5774000
Angola,AGO,1968,5772000
Angola,AGO,1969,5804000
Angola,AGO,1970,5890000
Angola,AGO,1971,6041000
Angola,AGO,1972,6249000
Angola,AGO,1973,6497000
Angola,AGO,1974,6762000
Angola,AGO,1975,7024000
Angola,AGO,1976,7280000
Angola,AGO,1977,7534000
Angola,AGO,1978,7791000
Angola,AGO,1979,8058000
Angola,AGO,1980,8341000
Angola,AGO,1981,8640000
Angola,AGO,1982,8953000
Angola,AGO,1983,9278000
Angola,AGO,1984,9615000
Angola,AGO,1985,9962000
Angola,AGO,1986,10320000
Angola,AGO,1987,10689000
Angola,AGO,1988,11068000
Angola,AGO,1989,11455000
Angola,AGO,1990,11848000
Angola,AGO,1991,12249000
Angola,AGO,1992,12657000
Angola,AGO,1993,13075000
Angola,AGO,1994,13504000
Angola,AGO,1995,13945000
Angola,AGO,1996,14401000
Angola,AGO,1997,14872000
Angola,AGO,1998,15360000
Angola,AGO,1999,15867000
Angola,AGO,2000,16395000
Angola,AGO,2001,16946000
Angola,AGO,2002,17519000
Angola,AGO,2003,18121000
Angola,AGO,2004,18758000
Angola,AGO,2005,19434000
Angola,AGO,2006,20150000
Angola,AGO,2007,20905000
Angola,AGO,2008,21696000
Angola,AGO,2009,22514000
Angola,AGO,2010,23356000
Angola,AGO,2011,24221000
Angola,AGO,2012,25108000
Angola,AGO,2013,26016000
Angola,AGO,2014,26942000
Angola,AGO,2015,27884000
Angola,AGO,2016,28842000
Angola,AGO,2017,29817000
Angola,AGO,2018,30810000
Angola,AGO,2019,31825000
Anguilla,AIA,1950,5000
Anguilla,AIA,1951,5000
Anguilla,AIA,1952,5000
Anguilla,AIA,1953,6000
Anguilla,AIA,1954,6000
Anguilla,AIA,1955,6000
Anguilla,AIA,1956,6000
Anguilla,AIA,1957,6000
Anguilla,AIA,1958,6000
Anguilla,AIA,1959,6000
Anguilla,AIA,1960,6000
Anguilla,AIA,1961,6000
Anguilla,AIA,1962,6000
Anguilla,AIA,1963,6000
Anguilla,AIA,1964,6000
Anguilla,AIA,1965,6000
Anguilla,AIA,1966,6000
Anguilla,AIA,1967,7000
Anguilla,AIA,1968,7000
Anguilla,AIA,1969,7000
Anguilla,AIA,1970,7000
Anguilla,AIA,1971,7000
Anguilla,AIA,1972,7000
Anguilla,AIA,1973,7000
Anguilla,AIA,1974,7000
Anguilla,AIA,1975,7000
Anguilla,AIA,1976,7000
Anguilla,AIA,1977,7000
Anguilla,AIA,1978,7000
Anguilla,AIA,1979,7000
Anguilla,AIA,1980,7000
Anguilla,AIA,1981,7000
Anguilla,AIA,1982,7000
Anguilla,AIA,1983,7000
Anguilla,AIA,1984,7000
Anguilla,AIA,1985,7000
Anguilla,AIA,1986,8000
Anguilla,AIA,1987,8000
Anguilla,AIA,1988,8000
Anguilla,AIA,1989,9000
Anguilla,AIA,1990,9000
Anguilla,AIA,1991,9000
Anguilla,AIA,1992,9000
Anguilla,AIA,1993,9000
Anguilla,AIA,1994,10000
Anguilla,AIA,1995,10000
Anguilla,AIA,1996,10000
Anguilla,AIA,1997,10000
Anguilla,AIA,1998,11000
Anguilla,AIA,1999,11000
Anguilla,AIA,2000,11000
Anguilla,AIA,2001,12000
Anguilla,AIA,2002,12000
Anguilla,AIA,2003,12000
Anguilla,AIA,2004,12000
Anguilla,AIA,2005,12000
Anguilla,AIA,2006,13000
Anguilla,AIA,2007,13000
Anguilla,AIA,2008,13000
Anguilla,AIA,2009,13000
Anguilla,AIA,2010,13000
Anguilla,AIA,2011,14000
Anguilla,AIA,2012,14000
Anguilla,AIA,2013,14000
Anguilla,AIA,2014,14000
Anguilla,AIA,2015,14000
Anguilla,AIA,2016,14000
Anguilla,AIA,2017,15000
Anguilla,AIA,2018,15000
Anguilla,AIA,2019,15000
Antigua and Barbuda,ATG,1901,34677
Antigua and Barbuda,ATG,1902,34444
Antigua and Barbuda,ATG,1903,34173
Antigua and Barbuda,ATG,1904,33891
Antigua and Barbuda,ATG,1905,33598
Antigua and Barbuda,ATG,1906,33296
Antigua and Barbuda,ATG,1907,32989
Antigua and Barbuda,ATG,1908,32692
Antigua and Barbuda,ATG,1909,32397
Antigua and Barbuda,ATG,1910,32121
Antigua and Barbuda,ATG,1911,31840
Antigua and Barbuda,ATG,1912,31605
Antigua and Barbuda,ATG,1913,31399
Antigua and Barbuda,ATG,1914,31194
Antigua and Barbuda,ATG,1915,30990
Antigua and Barbuda,ATG,1916,30788
Antigua and Barbuda,ATG,1917,30587
Antigua and Barbuda,ATG,1918,30391
Antigua and Barbuda,ATG,1919,30196
Antigua and Barbuda,ATG,1920,30002
Antigua and Barbuda,ATG,1921,30007
Antigua and Barbuda,ATG,1922,30214
Antigua and Barbuda,ATG,1923,30623
Antigua and Barbuda,ATG,1924,31038
Antigua and Barbuda,ATG,1925,31459
Antigua and Barbuda,ATG,1926,31885
Antigua and Barbuda,ATG,1927,32317
Antigua and Barbuda,ATG,1928,32755
Antigua and Barbuda,ATG,1929,33199
Antigua and Barbuda,ATG,1930,33649
Antigua and Barbuda,ATG,1931,34105
Antigua and Barbuda,ATG,1932,34567
Antigua and Barbuda,ATG,1933,35035
Antigua and Barbuda,ATG,1934,35510
Antigua and Barbuda,ATG,1935,35991
Antigua and Barbuda,ATG,1936,36479
Antigua and Barbuda,ATG,1937,36973
Antigua and Barbuda,ATG,1938,37474
Antigua and Barbuda,ATG,1939,37982
Antigua and Barbuda,ATG,1940,38496
Antigua and Barbuda,ATG,1941,39018
Antigua and Barbuda,ATG,1942,39547
Antigua and Barbuda,ATG,1943,40082
Antigua and Barbuda,ATG,1944,40626
Antigua and Barbuda,ATG,1945,41176
Antigua and Barbuda,ATG,1946,41889
Antigua and Barbuda,ATG,1947,42769
Antigua and Barbuda,ATG,1948,43825
Antigua and Barbuda,ATG,1949,44906
Antigua and Barbuda,ATG,1950,46000
Antigua and Barbuda,ATG,1951,47000
Antigua and Barbuda,ATG,1952,47000
Antigua and Barbuda,ATG,1953,48000
Antigua and Barbuda,ATG,1954,49000
Antigua and Barbuda,ATG,1955,50000
Antigua and Barbuda,ATG,1956,50000
Antigua and Barbuda,ATG,1957,51000
Antigua and Barbuda,ATG,1958,52000
Antigua and Barbuda,ATG,1959,53000
Antigua and Barbuda,ATG,1960,54000
Antigua and Barbuda,ATG,1961,55000
Antigua and Barbuda,ATG,1962,56000
Antigua and Barbuda,ATG,1963,57000
Antigua and Barbuda,ATG,1964,58000
Antigua and Barbuda,ATG,1965,59000
Antigua and Barbuda,ATG,1966,60000
Antigua and Barbuda,ATG,1967,61000
Antigua and Barbuda,ATG,1968,63000
Antigua and Barbuda,ATG,1969,64000
Antigua and Barbuda,ATG,1970,64000
Antigua and Barbuda,ATG,1971,64000
Antigua and Barbuda,ATG,1972,64000
Antigua and Barbuda,ATG,1973,64000
Antigua and Barbuda,ATG,1974,63000
Antigua and Barbuda,ATG,1975,63000
Antigua and Barbuda,ATG,1976,62000
Antigua and Barbuda,ATG,1977,62000
Antigua and Barbuda,ATG,1978,62000
Antigua and Barbuda,ATG,1979,62000
Antigua and Barbuda,ATG,1980,62000
Antigua and Barbuda,ATG,1981,62000
Antigua and Barbuda,ATG,1982,62000
Antigua and Barbuda,ATG,1983,62000
Antigua and Barbuda,ATG,1984,62000
Antigua and Barbuda,ATG,1985,62000
Antigua and Barbuda,ATG,1986,62000
Antigua and Barbuda,ATG,1987,62000
Antigua and Barbuda,ATG,1988,62000
Antigua and Barbuda,ATG,1989,62000
Antigua and Barbuda,ATG,1990,63000
Antigua and Barbuda,ATG,1991,63000
Antigua and Barbuda,ATG,1992,64000
Antigua and Barbuda,ATG,1993,66000
Antigua and Barbuda,ATG,1994,67000
Antigua and Barbuda,ATG,1995,69000
Antigua and Barbuda,ATG,1996,70000
Antigua and Barbuda,ATG,1997,72000
Antigua and Barbuda,ATG,1998,73000
Antigua and Barbuda,ATG,1999,75000
Antigua and Barbuda,ATG,2000,76000
Antigua and Barbuda,ATG,2001,77000
Antigua and Barbuda,ATG,2002,78000
Antigua and Barbuda,ATG,2003,79000
Antigua and Barbuda,ATG,2004,80000
Antigua and Barbuda,ATG,2005,81000
Antigua and Barbuda,ATG,2006,83000
Antigua and Barbuda,ATG,2007,84000
Antigua and Barbuda,ATG,2008,85000
Antigua and Barbuda,ATG,2009,87000
Antigua and Barbuda,ATG,2010,88000
Antigua and Barbuda,ATG,2011,89000
Antigua and Barbuda,ATG,2012,90000
Antigua and Barbuda,ATG,2013,92000
Antigua and Barbuda,ATG,2014,93000
Antigua and Barbuda,ATG,2015,94000
Antigua and Barbuda,ATG,2016,95000
Antigua and Barbuda,ATG,2017,95000
Antigua and Barbuda,ATG,2018,96000
